name,rating,reviews,avg_salary,description
TCS,3.3,1.1L,10.1L,IT Services & Consulting | Bengaluru +441 other locations
Accenture,3.7,73.2k,7L,IT Services & Consulting | Bengaluru +259 other locations
Wipro,3.6,64.9k,4.9L,IT Services & Consulting | Hyderabad +373 other locations
Cognizant,3.7,61.3k,6.1L,IT Services & Consulting | Hyderabad +231 other locations
Capgemini,3.6,53.1k,4.9L,IT Services & Consulting | Bengaluru +180 other locations
HDFC Bank,3.8,52.1k,1.5L,Banking | Mumbai +1846 other locations
Infosys,3.5,48.6k,5.3L,IT Services & Consulting | Bengaluru +243 other locations
HCLTech,3.4,45.8k,3.9L,IT Services & Consulting | Chennai +231 other locations
ICICI Bank,4.0,45.8k,1.5L,Banking | Mumbai +1442 other locations
Tech Mahindra,3.4,43.1k,2.9L,IT Services & Consulting | Hyderabad +322 other locations
Genpact,3.6,42.1k,2.4L,Analytics & KPO | Hyderabad +181 other locations
TP,3.8,38.3k,98.6k,BPO | Mumbai +254 other locations
Jio,4.4,33.5k,62k,Telecom | Mumbai +1956 other locations
Axis Bank,3.6,33k,1L,Banking | Mumbai +1517 other locations
Concentrix Corporation,3.6,32.2k,1.3L,BPO | Bengaluru +181 other locations
Amazon,3.9,31.3k,1.5L,Internet | Bengaluru +515 other locations
Reliance Retail,3.9,27.3k,75.6k,Retail | Mumbai +1157 other locations
iEnergizer,4.6,27k,24.6k,BPO | Noida +51 other locations
LTIMindtree,3.6,26.4k,2L,IT Services & Consulting | Bengaluru +144 other locations
IBM,3.9,25.7k,2.2L,IT Services & Consulting | Bengaluru +161 other locations
HDB Financial Services,3.9,25.6k,49.9k,NBFC | Mumbai +1090 other locations
Larsen & Toubro Limited,3.9,23.8k,76.5k,Engineering & Construction | Chennai +763 other locations
Deloitte,3.7,23.1k,2.6L,Management Consulting | Hyderabad +182 other locations
Kotak Mahindra Bank,3.6,22.3k,87.2k,Banking | Mumbai +689 other locations
Reliance Industries,4.0,20.1k,73.6k,Oil & Gas | Jamnagar +819 other locations
Vodafone Idea,3.9,17.6k,49.3k,Telecom | Pune +704 other locations
Bharti Airtel,3.8,17k,50.3k,Telecom | Gurugram +788 other locations
BYJU'S,3.2,16.3k,52.3k,EdTech | Bengaluru +321 other locations
WNS,3.3,15.2k,70.7k,IT Services & Consulting | Pune +65 other locations
IDFC FIRST Bank,3.9,14.5k,50.2k,Banking | Mumbai +724 other locations
Ernst & Young,3.4,14.5k,1.5L,Management Consulting | Bengaluru +134 other locations
IndusInd Bank,3.4,14.2k,52.6k,Banking | Mumbai +796 other locations
AU Small Finance Bank,3.8,14.2k,29.5k,Banking | Jaipur +798 other locations
Tata Motors,4.1,14.1k,43.1k,Automobile | Pune +506 other locations
Muthoot FinCorp,4.5,13.1k,9.2k,NBFC | Bengaluru +1121 other locations
Bajaj Finserv,4.0,13.1k,31.1k,NBFC | Pune +1190 other locations
Flipkart,3.9,12.9k,56.2k,Internet | Bengaluru +553 other locations
PwC,3.3,12.5k,1.3L,Management Consulting | Bengaluru +135 other locations
Mahindra & Mahindra,4.0,12k,40.9k,Automobile | Pune +565 other locations
Infosys BPM,3.5,12k,76.4k,BPO | Bengaluru +95 other locations
